code_machine;reference;parc
18CH01PS;PP1AIG;1
18CH02PS;PP1AIG;1
18CH03PS;PP1AIG;1
18CH04PS;PP1AIG;1
18CH05PS;PP1AIG;1
18CH06PS;PP1AIG;1
18CH07PS;PP1AIG;1
18CH08PS;PP1AIG;1
18CH09PS;PP1AIG;1
18CH10PS;PP1AIG;1
18CH11PS;PP1AIG;1
18CH12PS;PP1AIG;1
18CH13PS;PP1AIG;1
18CH01DAE;PP2AIG-E;1
18CH02DAE;PP2AIG-E;1
18CH03DAE;PP2AIG-E;1
18CH04DAE;PP2AIG-E;1
18CH01DAF;PP2AIG-F;1
18CH01S4F;SUR4F;1
18CH02S4F;SUR4F;1
18CH01S5F;SUR5F;1
18CH02S5F;SUR5F;1
18CH03S5F;SUR5F;1
18CH01PC3A;PP3AIG.C;1
18CH01BD;BD2AIG.C;1
18CH02BD;BD2AIG.C;1
18CH01FER;FERVAP;1
18CH02FER;FERVAP;1
18CH01SR1A;RASEUSE.RA;1
18CH01BJ;BD2AIG.C;1
18CH01B;ARRET-CY;1
18CH02B;ARRET-CY;1
18CH03B;ARRET-CY;1
18CH04B;ARRET-CY;1
18CH01PBN1A;BTNS_N4TRS;1
18CH01PBP;POSE-PR;1
18CH01BT;BTNS_PR;1
18CH01OB1A;PPL1AIG,CANON;1
18CH02PBP;POSE-PR;1
18CH14PS;PPL1AIG;1
18CH15PS;PPL1AIG;1
18CH16PS;PPL1AIG;1
18CH17PS;PPL1AIG;1
18CH18PS;PPL1AIG;1
18CH19PS;PPL1AIG;1
18CH03S4F;SUR4F;1
18CH01S3F;SUR3F;1
18CH02S3F;SUR3F;1
18CH03S3F;SUR3F;1
18CH01REC;REC2PL_C-RI;1
18CH02DAF;PPL2AIG-F;1
18CH05DAE;PPL2AIG-E;1
18CH06DAE;PPL2AIG-E;1
18CH07DAE;PPL2AIG-E;1
18CH05B;ARRET-CY;1
18CH03PBP;POSE-PR;1
18CH04PBP;POSE-PR;1
18CH04REC;REC2PL_C-RI;1
18CH02BT;BTNS_PR;1
18CH01PINCA;PINC-AUTO;1
18CH01CONF;CONF;1
18CH03FER;FERVAP;1
18CH04FER;FERVAP;1
18CH20PS;PPL1AIG;0
18CH21PS;PPL1AIG;0
18CH22PS;PPL1AIG;0
18CH23PS;PPL1AIG;0
18CH24PS;PPL1AIG;0
18CH02SR1A;RASEUSE.RA;0
18CH04S4F;SUR4F;0
18CH05S4F;SUR4F;0
18CH04S3F;SUR3F;0
18CH04S5F;SUR5F;0
18CH01S2AC;SU2F-C;0
18CH01PAM;POSE-AG-M;0
18CH02REC;REC2PL_C-RI;0
18CH01C;PPL4AIG.C;0
18CH25PS;PPL1AIG;0
18CH26PS;PPL1AIG;0
18CH27PS;PPL1AIG;0
18CH28PS;PPL1AIG;0
18CH29PS;PPL1AIG;0
18CH08DAE;PPL2AIG-E;0
18CH03DAF;PPL2AIG-F;0
18CH04DAF;PPL2AIG-F;0
18CH05S5F;SUR5F;0
18CH01S6F;SUR6F;0
18CH03REC;REC2PL_C-RI;0
18CH01CISE;CIS-ELE;0
