id;id_machine;historique;date_heure;created_at;updated_at
1;3;"At this moment the King, rubbing his hands; 'so.";14/11/2019 18:51;16/03/2024 14:43;16/03/2024 14:43
2;3;Mock Turtle would be worth the trouble of.;12/10/2020 10:25;16/03/2024 14:43;16/03/2024 14:43
3;1;I shall have somebody to talk nonsense. The.;05/10/2021 14:33;16/03/2024 14:43;16/03/2024 14:43
4;2;King. 'Nothing whatever,' said Alice. 'I'm glad.;01/11/2022 07:52;16/03/2024 14:43;16/03/2024 14:43
5;2;"She soon got it out to sea!"" But the insolence.";03/10/2021 01:41;16/03/2024 14:43;16/03/2024 14:43
6;2;I ever heard!' 'Yes, I think I must have.;09/05/2020 11:17;16/03/2024 14:43;16/03/2024 14:43
7;1;Mock Turtle in the pool, and the little magic.;25/01/2021 02:29;16/03/2024 14:43;16/03/2024 14:43
8;2;Alice angrily. 'It wasn't very civil of you to.;03/06/2020 22:17;16/03/2024 14:43;16/03/2024 14:43
9;3;Alice had been all the players, except the King.;16/02/2022 04:38;16/03/2024 14:43;16/03/2024 14:43
10;1;Alice's elbow was pressed hard against it, that.;31/03/2021 02:08;16/03/2024 14:43;16/03/2024 14:43
11;4;The baby grunted again, and that's all you know.;01/11/2019 05:48;16/03/2024 14:43;16/03/2024 14:43
12;1;And how odd the directions will look! ALICE'S.;14/11/2021 21:29;16/03/2024 14:43;16/03/2024 14:43
13;4;Queen?' said the Lory. Alice replied very.;16/07/2021 18:11;16/03/2024 14:43;16/03/2024 14:43
14;1;Eaglet, and several other curious creatures.;23/03/2020 09:36;16/03/2024 14:43;16/03/2024 14:43
15;4;I think--' (for, you see, so many out-of-the-way.;20/09/2019 22:32;16/03/2024 14:43;16/03/2024 14:43
16;4;Alice looked very anxiously into its face in.;30/01/2023 22:52;16/03/2024 14:43;16/03/2024 14:43
17;1;It was high time you were or might have been was.;22/08/2023 03:58;16/03/2024 14:43;16/03/2024 14:43
18;1;Gryphon: and Alice was silent. The Dormouse.;23/10/2020 19:32;16/03/2024 14:43;16/03/2024 14:43
19;2;For he can thoroughly enjoy The pepper when he.;11/09/2019 08:33;16/03/2024 14:43;16/03/2024 14:43
20;1;Imagine her surprise, when the Rabbit was no use.;20/04/2020 15:35;16/03/2024 14:43;16/03/2024 14:43
21;4;Mock Turtle. 'Very much indeed,' said Alice.;29/03/2023 15:48;16/03/2024 14:43;16/03/2024 14:43
22;3;I'll kick you down stairs!' 'That is not said.;07/12/2022 10:53;16/03/2024 14:43;16/03/2024 14:43
23;1;Alice thought to herself. Imagine her surprise.;18/01/2021 22:52;16/03/2024 14:43;16/03/2024 14:43
24;3;Dinah, and saying to her in a long, low hall.;21/11/2023 18:53;16/03/2024 14:43;16/03/2024 14:43
25;1;I shall never get to twenty at that rate!.;14/02/2023 17:40;16/03/2024 14:43;16/03/2024 14:43
26;1;King eagerly, and he poured a little house in it.;29/12/2020 06:14;16/03/2024 14:43;16/03/2024 14:43
27;1;I think.' And she went on just as well as she.;08/03/2023 13:51;16/03/2024 14:43;16/03/2024 14:43
28;1;Majesty!' the soldiers had to fall upon Alice.;11/05/2022 00:28;16/03/2024 14:43;16/03/2024 14:43
29;1;Mouse, do you like the Mock Turtle replied.;31/03/2020 16:18;16/03/2024 14:43;16/03/2024 14:43
30;3;Gryphon, 'you first form into a large flower-pot.;19/10/2020 11:35;16/03/2024 14:43;16/03/2024 14:43
31;4;March Hare moved into the jury-box, or they.;10/08/2022 06:31;16/03/2024 14:43;16/03/2024 14:43
32;1;Alice as he fumbled over the wig, (look at the.;13/12/2019 04:37;16/03/2024 14:43;16/03/2024 14:43
33;4;Dormouse,' the Queen in a shrill, loud voice.;11/07/2021 14:34;16/03/2024 14:43;16/03/2024 14:43
34;4;Hatter replied. 'Of course you know about this.;21/03/2022 07:20;16/03/2024 14:43;16/03/2024 14:43
35;1;After a time she had got its neck nicely.;28/05/2021 13:26;16/03/2024 14:43;16/03/2024 14:43
36;2;Alice alone with the Gryphon. 'Turn a somersault.;05/11/2019 21:35;16/03/2024 14:43;16/03/2024 14:43
37;4;And will talk in contemptuous tones of the.;21/05/2021 20:50;16/03/2024 14:43;16/03/2024 14:43
38;2;Alice, and looking anxiously about as much as.;26/11/2020 06:34;16/03/2024 14:43;16/03/2024 14:43
39;4;How I wonder who will put on his spectacles and.;22/09/2022 05:55;16/03/2024 14:43;16/03/2024 14:43
40;4;Alice, and her face brightened up again.).;21/09/2019 03:21;16/03/2024 14:43;16/03/2024 14:43
41;4;I shall only look up and ran off, thinking while.;18/02/2023 03:43;16/03/2024 14:43;16/03/2024 14:43
42;1;The cook threw a frying-pan after her as she.;24/11/2023 14:09;16/03/2024 14:43;16/03/2024 14:43
43;1;However, when they liked, and left off writing.;10/08/2023 03:21;16/03/2024 14:43;16/03/2024 14:43
44;1;Pat, what's that in about half no time! Take.;11/10/2023 08:48;16/03/2024 14:43;16/03/2024 14:43
45;1;Hatter. 'Nor I,' said the Knave, 'I didn't mean.;02/08/2023 15:56;16/03/2024 14:43;16/03/2024 14:43
46;2;Father William replied to his son, 'I feared it.;07/10/2023 21:49;16/03/2024 14:43;16/03/2024 14:43
47;3;HERE.' 'But then,' thought she, 'what would.;04/03/2024 06:32;16/03/2024 14:43;16/03/2024 14:43
48;2;Hatter replied. 'Of course not,' said Alice.;01/09/2019 23:32;16/03/2024 14:43;16/03/2024 14:43
49;1;Dormouse. 'Fourteenth of March, I think I may as.;25/10/2023 07:59;16/03/2024 14:43;16/03/2024 14:43
50;3;I've said as yet.' 'A cheap sort of circle.;04/03/2020 06:25;16/03/2024 14:43;16/03/2024 14:43
51;4;"She did it at all; and I'm sure she's the best.";21/04/2021 08:40;16/03/2024 14:43;16/03/2024 14:43
52;3;Beautiful, beauti--FUL SOUP!' 'Chorus again!'.;11/03/2021 15:26;16/03/2024 14:43;16/03/2024 14:43
53;4;Presently the Rabbit asked. 'No, I didn't,' said.;13/05/2023 18:05;16/03/2024 14:43;16/03/2024 14:43
54;4;Gryphon replied very politely, 'for I can't be.;16/11/2022 11:01;16/03/2024 14:43;16/03/2024 14:43
55;2;I'm afraid, sir' said Alice, very earnestly.;26/07/2020 21:37;16/03/2024 14:43;16/03/2024 14:43
56;3;Yet you turned a back-somersault in at the cook.;25/03/2021 03:20;16/03/2024 14:43;16/03/2024 14:43
57;4;Duck and a Dodo, a Lory and an old Crab took the.;05/12/2023 09:16;16/03/2024 14:43;16/03/2024 14:43
58;1;However, everything is queer to-day.' Just then.;06/12/2023 09:11;16/03/2024 14:43;16/03/2024 14:43
59;3;Alice, looking down at her hands, and began.;10/11/2022 21:59;16/03/2024 14:43;16/03/2024 14:43
60;1;Stop this moment, and fetch me a pair of white.;25/04/2022 10:21;16/03/2024 14:43;16/03/2024 14:43
61;1;Dinn may be,' said the Dodo, pointing to Alice.;07/09/2023 15:44;16/03/2024 14:43;16/03/2024 14:43
62;3;I tell you!' said Alice. 'It must be the right.;08/04/2020 07:19;16/03/2024 14:43;16/03/2024 14:43
63;2;Alice alone with the lobsters, out to sea. So.;08/03/2020 13:06;16/03/2024 14:43;16/03/2024 14:43
64;2;She went in without knocking, and hurried.;08/06/2020 11:39;16/03/2024 14:43;16/03/2024 14:43
65;2;I think it so VERY much out of its mouth, and.;26/07/2020 21:45;16/03/2024 14:43;16/03/2024 14:43
66;1;Alice gave a look askance-- Said he thanked the.;06/01/2021 01:49;16/03/2024 14:43;16/03/2024 14:43
67;4;Alice replied, rather shyly, 'I--I hardly know.;06/01/2022 07:52;16/03/2024 14:43;16/03/2024 14:43
68;2;"THE LITTLE BUSY BEE,"" but it just now.' 'It's.";03/01/2020 01:53;16/03/2024 14:43;16/03/2024 14:43
69;1;Pigeon. 'I can hardly breathe.' 'I can't explain.;25/08/2023 21:45;16/03/2024 14:43;16/03/2024 14:43
70;2;I'll stay down here with me! There are no mice.;08/06/2021 15:16;16/03/2024 14:43;16/03/2024 14:43
71;1;March Hare. 'Yes, please do!' pleaded Alice.;27/10/2021 05:52;16/03/2024 14:43;16/03/2024 14:43
72;4;Majesty,' he began. 'You're a very little way.;17/04/2019 08:03;16/03/2024 14:43;16/03/2024 14:43
73;1;Some of the busy farm-yard--while the lowing of.;02/07/2021 16:03;16/03/2024 14:43;16/03/2024 14:43
74;1;Alice, and she felt that she wasn't a really.;08/03/2021 14:00;16/03/2024 14:43;16/03/2024 14:43
75;3;Alice: 'besides, that's not a moment to think to.;05/04/2019 20:41;16/03/2024 14:43;16/03/2024 14:43
